objectid,id,nombre_est,rue,respaldo_i,origen_alt,url_ficha,altura,cod_com,uuid,longitud,latitud,altura
24,4,Hospital el Cobre,20220101,"Resolución nº 1477, de 03 de Abril de 2002 (declarada EMRP MP10)",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=4,2298,02201,5798c0ec-a22d-4923-a286-4c617b92994a,-68.90837929299994,-22.450624249999976,2298
25,70,Catemu,50570202,Sin información,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=70,376,05702,5798c0ec-a22d-4923-a286-4c617b92994a,-70.95918375499997,-32.77929635399994,376
26,15,Hospital,20230201,Resolución nº 4075 de 22 de Septiembre de 1998 (EMRP MP10 Hospital Hivol) Resolución nº 5593 de 29 de Noviembre de 2002 (EMRP MP10 Atenuación Beta),Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=15,1274,02302,5798c0ec-a22d-4923-a286-4c617b92994a,-69.66466682499998,-22.341690419999964,1274
27,7,Iglesia,20230202,Resolución nº 4075 de 22 de Septiembre de 1998 (EMRP MP10),Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=7,1253,02302,5798c0ec-a22d-4923-a286-4c617b92994a,-69.66073928899993,-22.344895400999974,1253
28,14,Compañía de Bomberos,0,"Resolución nº 4562 de 25 de Octubre de 2004 (EMRP-MP10 y EMRPG NO2, NO y CO)",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=14,12,02102,5798c0ec-a22d-4923-a286-4c617b92994a,-70.45031838499995,-23.100167433999957,12
29,3,Jardín Infantil Integra,20210203,Resolución nº 4567 de 25 de Octubre de 2004 (EMRPG NO2 y NO),Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=3,-16,02102,5798c0ec-a22d-4923-a286-4c617b92994a,-70.44279755299993,-23.098935850999965,-16
30,22,Paposo,20210402,"Resolución nº 4566 de 25 de Octubre de 2004 (EMRPG NO2, NO y O3)",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=22,315,02104,5798c0ec-a22d-4923-a286-4c617b92994a,-70.46315250599997,-25.007262683999954,315
31,6,Punto de Máximo Impacto,20210401,"Resolución nº 4566 de 25 de Octubre de 2004 (EMRPG NO2, NO y O3)",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=6,477,02104,5798c0ec-a22d-4923-a286-4c617b92994a,-70.46116069699997,-24.98294858299994,477
32,12,Escuela E-12,20230103,"Resolución n° 3664 de fecha 06 de Septiembre de 2004 (EMRP MP10)
Resolución nº 1032 de fecha 10 de Abril de 2006 (EMRPG SO2)",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=12,102,02301,5798c0ec-a22d-4923-a286-4c617b92994a,-70.19490956199996,-22.088905341999975,102
33,13,Escuela Gabriela Mistral,20230102,"Resolución n° 3664 de fecha 06 de Septiembre de 2004 (EMRP MP10)
Resolución nº 2451 de 18 de Agosto de 2006 (EMRPG SO2)",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=13,245,02301,5798c0ec-a22d-4923-a286-4c617b92994a,-70.19701399699994,-22.093641325999954,245
34,84,Gobernación,20230101,"Resolución n° 3664, de fecha 06 de Septiembre de 2004 (EMRP MP10)
Resolución nº 1032 de fecha 10 de Abril de 2006 (EMRPG SO2)",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=84,245,02301,5798c0ec-a22d-4923-a286-4c617b92994a,-70.20118751699994,-22.093159053999955,245
35,43,Sur,20230106,Resolución nº 4474 de 19 de Octubre de 2004  (EMRP MP10 y EMRPG SO2),Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=43,-2,02301,5798c0ec-a22d-4923-a286-4c617b92994a,-70.21383821199998,-22.10694929999994,-2
36,37,Centro,20230105,"Resolución 4474 de 19 de Octubre de 2004 (EMRP MP10)
",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=37,245,02301,5798c0ec-a22d-4923-a286-4c617b92994a,-70.19703254399997,-22.093541826999967,245
37,23,Norte,0,Resolución nº 4066 de 11 de Septiembre de 2000 (EMRP MP10 y EMRPG SO2 y NO2),Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=23,102,02301,5798c0ec-a22d-4923-a286-4c617b92994a,-70.18876515199997,-22.085508542999946,102
38,2,Ferrocarriles,20210201,Resolución nº 2830 de 28 de Septiembre de 2006 (EMRP MP10 y EMRPG SO2),Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=2,-2,02301,5798c0ec-a22d-4923-a286-4c617b92994a,-70.21383821199998,-22.10694929999994,-2
39,187,Los Volcanes,0,"Nº 1729 Clasifica la Estación de Monitoreo con representatividad poblacional,  para gas de dióxido de azufre (EMRPG) a las 6 estaciones de monitoreo de la Fundición",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=187,431,03101,5798c0ec-a22d-4923-a286-4c617b92994a,-70.30625381499993,-27.373328302999937,431
40,189,Paipote,0,"Nº 545 Clasifica la Estación con representatividad poblacional,  a las estaciones de Tierra Amarilla, San Fernando, Copiapó
Nº 1729 Clasifica la Estación de Monitoreo con representatividad poblacional,  para gas de dióxido de azufre (EMRPG) a las 6 esta",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=189,477,03101,5798c0ec-a22d-4923-a286-4c617b92994a,-70.27141630199998,-27.413611659999958,477
41,191,San Fernando,0,"Nº 545 Clasifica la Estación con representatividad poblacional,  a las estaciones de Tierra Amarilla, San Fernando, Copiapó
Nº 1729 Clasifica la Estación de Monitoreo con representatividad poblacional,  para gas de dióxido de azufre (EMRPG) a las 6 esta",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=191,399,03101,5798c0ec-a22d-4923-a286-4c617b92994a,-70.30125508299994,-27.396330017999958,399
42,186,Copiapó,0,"Nº 545 Clasifica la Estación con representatividad poblacional,  a las estaciones de Tierra Amarilla, San Fernando, Copiapó
Nº 1729 Clasifica la Estación de Monitoreo con representatividad poblacional,  para gas de dióxido de azufre (EMRPG) a las 6 esta",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=186,459,03101,5798c0ec-a22d-4923-a286-4c617b92994a,-70.32931647699996,-27.363099915999953,459
